P-V-T Data for 13% Fe-bearing Bridgmanite
ID P[GPa] err_tot T[K] err V_Pv[Ang^3] err V_Ne[Ang^3] err
1  33.15 0.65  300   0 146.59 0.24 34.707 0.058
1  33.88 0.58  300   0 145.81 0.21 34.524 0.058
1  37.95 0.84  300   0 144.97 0.30 33.580 0.057
1  39.50 0.86  300   0 144.32 0.30 33.252 0.056
1  41.91 0.42  300   0 142.88 0.11 32.771 0.055
1  44.58 0.68  300   0 142.23 0.21 32.273 0.054
1  46.85 0.73  300   0 141.49 0.22 31.877 0.054
1  49.21 0.92  300   0 140.53 0.28 31.488 0.053
1  51.39 0.73  300   0 139.52 0.20 31.146 0.052
1  55.20 1.39  300   0 138.53 0.41 30.591 0.051
1  56.22 0.90  300   0 138.40 0.25 30.449 0.051
1  59.22 1.03  300   0 137.40 0.28 30.051 0.051
1  61.07 1.19  300   0 137.14 0.33 29.817 0.050
1  63.17 0.82  300   0 136.23 0.20 29.560 0.050
1  64.21 0.88  300   0 136.06 0.22 29.437 0.049
1  66.38 0.81  300   0 135.48 0.19 29.187 0.049
1  67.88 0.80  300   0 135.01 0.18 29.020 0.049
1  70.84 1.02  300   0 134.08 0.24 28.702 0.048
1  73.92 1.11  300   0 133.38 0.26 28.388 0.048
1  73.39 0.94  300   0 133.72 0.21 28.441 0.048
1  74.57 0.79  300   0 133.07 0.16 28.325 0.048
1  74.95 0.96  300   0 133.17 0.21 28.287 0.048
1  76.94 0.94  300   0 132.38 0.20 28.095 0.047
1  79.58 1.17  300   0 131.90 0.26 27.849 0.047
1  81.59 1.01  300   0 131.26 0.21 27.668 0.047
1  85.09 1.04  300   0 130.65 0.21 27.365 0.046
1  86.34 0.97  300   0 130.44 0.19 27.261 0.046
1  86.64 1.35  300   0 130.22 0.29 27.236 0.046
1  87.62 0.98  300   0 130.39 0.19 27.156 0.046
1  88.87 1.07  300   0 129.88 0.21 27.054 0.045
1  90.14 1.38  300   0 129.25 0.28 26.953 0.045
