P-V-T Data for Fe-free Bridgmanite (Reanalyzed from Tange et al., 2012)
ID P[GPa] err_tot T[K] err V_Pv[Ang^3] err V_Ne[Ang^3] err
1  30.43 0.17 1300  1 150.260 0.074 66.4150 0.0074 
1  30.22 0.22 1100  1 149.630 0.094 66.1360 0.0067 
1  29.67 0.23  900  1 149.130 0.094 65.9500 0.0047 
1  28.97 0.25  700  1 148.770 0.100 65.8100 0.0134 
1  28.68 0.17  500  1 148.420 0.067 65.5860 0.0074 
1  27.96 0.10  300  1 148.260 0.040 65.5060 0.0013 
1  42.82 0.16 1500  1 145.920 0.047 63.8500 0.0201 
1  42.14 0.14 1300  1 145.600 0.047 63.7100 0.0134 
1  41.37 0.41 1100  1 145.170 0.053 63.5910 0.0802 
1  41.02 0.13  900  1 144.830 0.040 63.3900 0.0134 
1  40.33 0.15  700  1 144.500 0.053 63.2660 0.0074 
1  39.67 0.14  500  1 144.280 0.047 63.1510 0.0074 
1  39.02 0.18  300  1 144.140 0.053 63.0700 0.0201 
1  52.30 0.12 1500  1 142.420 0.033 61.9800 0.0134 
1  51.73 0.16 1300  1 142.130 0.047 61.8310 0.0127 
1  51.14 0.16 1100  1 141.770 0.047 61.6900 0.0134 
1  50.63 0.18  900  1 141.460 0.053 61.5400 0.0134 
1  50.15 0.22  700  1 141.190 0.053 61.3900 0.0267 
1  49.42 0.21  500  1 140.970 0.047 61.3000 0.0267 
1  48.72 0.15  300  1 140.820 0.033 61.2400 0.0201 
1  62.22 0.25 1500  1 139.330 0.074 60.2600 0.0134 
1  62.56 0.27 1300  1 138.790 0.074 59.9800 0.0201 
1  62.43 0.32 1100  1 138.450 0.060 59.7800 0.0401 
1  61.82 0.36  900  1 138.130 0.087 59.6600 0.0334 
1  61.51 0.49  700  1 137.800 0.127 59.5000 0.0334 
1  60.91 0.45  500  1 137.570 0.114 59.4000 0.0334 
1  60.58 0.43  300  1 137.380 0.107 59.2900 0.0334 
3  59.98 0.21 1500 20 139.930 0.022 60.6300 0.0329
2  53.80 0.27  300  0 139.410 0.031 60.3700 0.0414
3  60.81 0.33 1980 30 140.900 0.022 61.0600 0.0548
2  51.71 0.33  300  0 140.110 0.041 60.7200 0.0517
3  68.94 0.13 1500 20 137.230 0.022 59.2080 0.0164
2  60.63 0.16  300  0 137.320 0.041 59.2810 0.0114
3  93.64 0.46 1500 20 131.150 0.099 55.9200 0.0219
3  86.15 0.19 1900 30 133.408 0.021 57.2100 0.0219
3  83.92 0.19 1500 20 133.270 0.022 57.1200 0.0219
2  76.10 1.59  300  0 133.280 0.031 57.1000 0.2068
3 108.51 0.27 1870 60 128.140 0.055 54.5680 0.0088
3 106.07 0.21 1550 50 128.140 0.044 54.5690 0.0044
2  97.74 0.28  300  0 128.100 0.052 54.5450 0.0145
3 104.21 0.16 2430 60 130.040 0.033 55.5050 0.0077
2  88.84 0.20  300  0 130.140 0.031 55.5370 0.0165
