Geothermal Profiles for 13\%-Fe (Fe-free) Bridgmanite
P[GPa]    T[K]       rho[g/cc]     KS[GPa]     alpha[1e-5/K]    gamma         Cv/3Nk
 23.8  1873 (1873)  4.47 (4.29)  318.2 (325.1)  2.38 (2.76)  1.36 (1.58)  0.9838 (0.9839)
 26.1  1891 (1893)  4.50 (4.32)  326.6 (333.2)  2.33 (2.68)  1.36 (1.57)  0.9838 (0.9839)
 28.4  1908 (1913)  4.53 (4.34)  334.9 (341.3)  2.27 (2.60)  1.35 (1.55)  0.9838 (0.9839)
 30.6  1925 (1932)  4.56 (4.37)  343.2 (349.3)  2.22 (2.53)  1.35 (1.54)  0.9838 (0.9839)
 32.9  1942 (1951)  4.59 (4.40)  351.4 (357.2)  2.18 (2.46)  1.34 (1.52)  0.9838 (0.9839)
 35.1  1959 (1970)  4.62 (4.43)  359.6 (365.1)  2.13 (2.40)  1.34 (1.51)  0.9838 (0.9839)
 37.4  1975 (1988)  4.65 (4.46)  367.7 (373.0)  2.09 (2.34)  1.33 (1.50)  0.9838 (0.9839)
 39.7  1991 (2006)  4.68 (4.48)  375.8 (380.8)  2.05 (2.28)  1.33 (1.49)  0.9838 (0.9839)
 41.9  2006 (2023)  4.71 (4.51)  383.8 (388.5)  2.01 (2.23)  1.32 (1.47)  0.9838 (0.9839)
 44.2  2022 (2040)  4.74 (4.54)  391.8 (396.3)  1.97 (2.18)  1.32 (1.46)  0.9838 (0.9839)
 46.5  2037 (2057)  4.76 (4.56)  399.7 (404.0)  1.94 (2.13)  1.32 (1.45)  0.9838 (0.9839)
 48.7  2052 (2074)  4.79 (4.59)  407.6 (411.6)  1.90 (2.08)  1.31 (1.44)  0.9838 (0.9839)
 51.0  2067 (2090)  4.82 (4.61)  415.4 (419.2)  1.87 (2.04)  1.31 (1.43)  0.9838 (0.9839)
 53.2  2081 (2106)  4.84 (4.64)  423.2 (426.8)  1.84 (2.00)  1.30 (1.42)  0.9838 (0.9839)
 55.5  2095 (2121)  4.87 (4.66)  431.0 (434.3)  1.81 (1.95)  1.30 (1.41)  0.9838 (0.9839)
 57.8  2109 (2137)  4.89 (4.69)  438.7 (441.8)  1.78 (1.91)  1.30 (1.40)  0.9838 (0.9839)
 60.0  2123 (2152)  4.92 (4.71)  446.4 (449.3)  1.75 (1.88)  1.29 (1.39)  0.9838 (0.9839)
 62.3  2137 (2167)  4.94 (4.73)  454.0 (456.8)  1.72 (1.84)  1.29 (1.38)  0.9838 (0.9839)
 64.5  2150 (2181)  4.97 (4.76)  461.6 (464.2)  1.70 (1.81)  1.28 (1.37)  0.9838 (0.9839)
 66.8  2164 (2196)  4.99 (4.78)  469.2 (471.6)  1.67 (1.77)  1.28 (1.36)  0.9838 (0.9839)
 69.1  2177 (2210)  5.02 (4.80)  476.8 (478.9)  1.65 (1.74)  1.28 (1.35)  0.9838 (0.9839)
 71.3  2190 (2224)  5.04 (4.82)  484.3 (486.3)  1.63 (1.71)  1.27 (1.34)  0.9838 (0.9839)
 73.6  2203 (2237)  5.06 (4.85)  491.8 (493.6)  1.61 (1.68)  1.27 (1.33)  0.9838 (0.9839)
 75.9  2216 (2251)  5.09 (4.87)  499.2 (500.8)  1.58 (1.65)  1.27 (1.32)  0.9838 (0.9839)
 78.1  2228 (2264)  5.11 (4.89)  506.7 (508.1)  1.56 (1.62)  1.26 (1.32)  0.9838 (0.9839)
 80.4  2241 (2277)  5.13 (4.91)  514.1 (515.3)  1.54 (1.60)  1.26 (1.31)  0.9838 (0.9839)
 82.6  2253 (2290)  5.15 (4.93)  521.4 (522.5)  1.52 (1.57)  1.26 (1.30)  0.9838 (0.9839)
 84.9  2265 (2303)  5.18 (4.96)  528.8 (529.7)  1.50 (1.55)  1.26 (1.29)  0.9838 (0.9839)
 87.2  2277 (2316)  5.20 (4.98)  536.1 (536.8)  1.49 (1.52)  1.25 (1.29)  0.9838 (0.9839)
 89.4  2289 (2328)  5.22 (5.00)  543.4 (544.0)  1.47 (1.50)  1.25 (1.28)  0.9838 (0.9839)
 91.7  2301 (2340)  5.24 (5.02)  550.7 (551.1)  1.45 (1.48)  1.25 (1.27)  0.9838 (0.9839)
 94.0  2312 (2352)  5.26 (5.04)  557.9 (558.2)  1.43 (1.45)  1.24 (1.26)  0.9838 (0.9839)
 96.2  2324 (2364)  5.28 (5.06)  565.2 (565.2)  1.42 (1.43)  1.24 (1.26)  0.9838 (0.9839)
 97.3  2329 (2370)  5.29 (5.07)  568.8 (568.7)  1.41 (1.42)  1.24 (1.25)  0.9838 (0.9839)
 99.6  2341 (2382)  5.32 (5.09)  575.9 (575.8)  1.39 (1.40)  1.24 (1.25)  0.9838 (0.9839)
101.9  2352 (2393)  5.34 (5.11)  583.1 (582.8)  1.38 (1.38)  1.23 (1.24)  0.9838 (0.9839)
104.1  2363 (2405)  5.36 (5.13)  590.3 (589.8)  1.36 (1.36)  1.23 (1.23)  0.9838 (0.9839)
